LP DATA SYSTEM SID HUMAN
en-zh newstest2017 online-A.0 138 0.595473186740165
en-zh newstest2017 UU-HNMT.5134 202 -0.783210587835861
en-zh newstest2017 Oregon-State-University-S.5174 205 -0.89342091511832
en-zh newstest2017 CASICT-cons.5157 210 -0.830866626507344
en-zh newstest2017 online-A.0 288 -0.760200876968998
en-zh newstest2017 online-F.0 308 -0.593995838993125
en-zh newstest2017 uedin-nmt.5111 399 -0.471089306746454
en-zh newstest2017 online-A.0 432 0.588148123479195
en-zh newstest2017 online-F.0 483 -0.53875733504593
en-zh newstest2017 online-G.0 510 -0.610883796406697
en-zh newstest2017 online-B.0 558 0.0331164713538669
en-zh newstest2017 UU-HNMT.5134 565 0.67085564289242
en-zh newstest2017 online-F.0 598 -0.202815431834049
en-zh newstest2017 online-B.0 618 -0.0901744180613657
en-zh newstest2017 xmunmt.5165 639 0.624387275955131
en-zh newstest2017 jhu-nmt.5153 681 -0.511107673700883
en-zh newstest2017 Oregon-State-University-S.5174 683 0.831251144093782
en-zh newstest2017 Oregon-State-University-S.5174 705 0.421782359742915
en-zh newstest2017 jhu-nmt.5153 736 0.523471365068453
en-zh newstest2017 UU-HNMT.5134 746 -0.246340453069915
en-zh newstest2017 online-G.0 761 -0.849775997547873
en-zh newstest2017 online-G.0 764 -0.206119773566699
en-zh newstest2017 Oregon-State-University-S.5174 873 0.529067342324921
en-zh newstest2017 uedin-nmt.5111 927 0.847702501443173
en-zh newstest2017 online-B.0 931 -0.0581162451404709
en-zh newstest2017 SogouKnowing-nmt.5131 956 -1.18447767723007
en-zh newstest2017 uedin-nmt.5111 969 -1.15386804145625
en-zh newstest2017 CASICT-cons.5157 980 -0.0193008595711449
en-zh newstest2017 online-A.0 1006 0.321373590941952
en-zh newstest2017 online-G.0 1019 0.120274844296536
en-zh newstest2017 xmunmt.5165 1027 0.102139611088277
en-zh newstest2017 xmunmt.5165 1057 -0.132099803770925
en-zh newstest2017 jhu-nmt.5153 1088 0.204882568169474
en-zh newstest2017 UU-HNMT.5134 1112 0.100022805845778
en-zh newstest2017 online-A.0 1152 0.749102304097598
en-zh newstest2017 CASICT-cons.5157 1164 0.653609590132542
en-zh newstest2017 xmunmt.5165 1180 -0.237656667315325
en-zh newstest2017 online-A.0 1224 -0.0494134322287943
en-zh newstest2017 online-B.0 1265 -0.783940054108587
en-zh newstest2017 online-B.0 1283 -1.03898320703416
en-zh newstest2017 online-G.0 1309 -0.634757585351668
en-zh newstest2017 online-A.0 1322 0.291257947641496
en-zh newstest2017 jhu-nmt.5153 1359 -0.73730456369745
en-zh newstest2017 xmunmt.5165 1373 -0.117034979660048
en-zh newstest2017 online-F.0 1377 -0.576220102719828
en-zh newstest2017 online-F.0 1424 -1.10828646891995
en-zh newstest2017 online-G.0 1442 -0.745413095821046
en-zh newstest2017 online-B.0 1456 -0.590552047880546
en-zh newstest2017 Oregon-State-University-S.5174 1485 -0.680428054815219
en-zh newstest2017 online-B.0 1489 -1.00711447478182
en-zh newstest2017 online-G.0 1563 -0.141338543136479
en-zh newstest2017 online-F.0 1572 0.528676235734718
en-zh newstest2017 xmunmt.5165 1616 0.432211122541321
en-zh newstest2017 jhu-nmt.5153 1636 -0.286179577329963
en-zh newstest2017 xmunmt.5165 1681 -0.817878453461077
en-zh newstest2017 online-B.0 1697 -0.455652513431139
en-zh newstest2017 online-A.0 1715 -0.0561147481211775
en-zh newstest2017 Oregon-State-University-S.5174 1737 0.221074532878533
en-zh newstest2017 xmunmt.5165 1775 0.648837384185819
en-zh newstest2017 uedin-nmt.5111 1848 0.603203046263528
en-zh newstest2017 online-F.0 1865 -0.493155047983459
en-zh newstest2017 online-A.0 1875 0.289292003179398
en-zh newstest2017 SogouKnowing-nmt.5131 1875 0.492667751675699
en-zh newstest2017 UU-HNMT.5134 1900 -1.1027003751017
en-zh newstest2017 online-G.0 1913 -0.672951948991876
en-zh newstest2017 CASICT-cons.5157 1927 -0.189958225286239
en-zh newstest2017 Oregon-State-University-S.5174 1938 -0.443217716614933
en-zh newstest2017 Oregon-State-University-S.5174 1957 -0.400529158558255
en-zh newstest2017 online-A.0 42 -0.0632785656846822
en-zh newstest2017 online-G.0 129 -0.71545050455623
en-zh newstest2017 online-B.0 148 -0.227473772323829
en-zh newstest2017 xmunmt.5165 265 -0.414710631096249
en-zh newstest2017 jhu-nmt.5153 284 -0.242749231639047
en-zh newstest2017 online-B.0 345 -0.41962498334777
en-zh newstest2017 CASICT-cons.5157 355 -0.820777241224857
en-zh newstest2017 UU-HNMT.5134 362 -0.717854234306746
en-zh newstest2017 UU-HNMT.5134 369 -1.08054552882884
en-zh newstest2017 Oregon-State-University-S.5174 400 -0.435844265160295
en-zh newstest2017 UU-HNMT.5134 418 -0.933931953034856
en-zh newstest2017 jhu-nmt.5153 418 -0.885357480857027
en-zh newstest2017 online-F.0 427 -1.08862168236667
en-zh newstest2017 xmunmt.5165 453 0.334854640712376
en-zh newstest2017 CASICT-cons.5157 487 -0.577892309602957
en-zh newstest2017 Oregon-State-University-S.5174 498 0.0394014611689948
en-zh newstest2017 uedin-nmt.5111 524 0.983793165354072
en-zh newstest2017 xmunmt.5165 525 0.739135624099048
en-zh newstest2017 online-A.0 527 0.1245235809088
en-zh newstest2017 online-B.0 559 0.538494121597212
en-zh newstest2017 SogouKnowing-nmt.5131 565 0.983727227242844
en-zh newstest2017 Oregon-State-University-S.5174 571 0.380543997014914
en-zh newstest2017 online-F.0 672 0.430387207371672
en-zh newstest2017 online-G.0 694 -0.786658207567932
en-zh newstest2017 xmunmt.5165 806 0.29734430719099
en-zh newstest2017 xmunmt.5165 810 0.695440436326642
en-zh newstest2017 jhu-nmt.5153 852 0.373907936236364
en-zh newstest2017 online-A.0 908 0.448177211122241
en-zh newstest2017 SogouKnowing-nmt.5131 926 0.804004932297267
en-zh newstest2017 online-F.0 945 -0.0543344902957071
en-zh newstest2017 online-F.0 960 -1.0935729930609
en-zh newstest2017 online-B.0 973 -1.14008291770546
en-zh newstest2017 online-F.0 984 0.38149265563909
en-zh newstest2017 SogouKnowing-nmt.5131 1000 0.5967962965612
en-zh newstest2017 online-F.0 1035 0.316425033786198
en-zh newstest2017 online-A.0 1065 -0.348506849353971
en-zh newstest2017 uedin-nmt.5111 1207 0.366786181738532
en-zh newstest2017 xmunmt.5165 1254 0.746311855385727
en-zh newstest2017 jhu-nmt.5153 1257 -0.364531563643544
en-zh newstest2017 CASICT-cons.5157 1273 -1.01480881806653
en-zh newstest2017 jhu-nmt.5153 1291 -0.730422563565934
en-zh newstest2017 online-G.0 1300 -1.18905929396103
en-zh newstest2017 CASICT-cons.5157 1330 -0.000456861219648462
en-zh newstest2017 xmunmt.5165 1401 0.371963485101393
en-zh newstest2017 online-B.0 1484 -0.816393743759876
en-zh newstest2017 online-F.0 1497 -0.569775827244091
en-zh newstest2017 uedin-nmt.5111 1517 -0.0410487059201972
en-zh newstest2017 SogouKnowing-nmt.5131 1539 0.713558375608337
en-zh newstest2017 online-G.0 1539 0.0342079234886233
en-zh newstest2017 CASICT-cons.5157 1550 -0.314511491111002
en-zh newstest2017 online-A.0 1587 0.347212761280354
en-zh newstest2017 jhu-nmt.5153 1590 0.133470074927301
en-zh newstest2017 online-A.0 1600 1.06090050299355
en-zh newstest2017 UU-HNMT.5134 1603 1.07085222091942
en-zh newstest2017 SogouKnowing-nmt.5131 1614 0.1536609019086
en-zh newstest2017 online-B.0 1616 0.570317137070544
en-zh newstest2017 xmunmt.5165 1669 0.836468679411213
en-zh newstest2017 online-A.0 1704 -0.452300537902816
en-zh newstest2017 online-A.0 1705 -1.20717416989067
en-zh newstest2017 online-F.0 1783 0.234208817916771
en-zh newstest2017 uedin-nmt.5111 1817 -0.00886573276969678
en-zh newstest2017 SogouKnowing-nmt.5131 1837 0.62746214188999
en-zh newstest2017 jhu-nmt.5153 1861 0.190039133684645
en-zh newstest2017 online-A.0 1863 0.319654705806578
en-zh newstest2017 xmunmt.5165 1867 -0.425454644415779
en-zh newstest2017 online-F.0 1883 -0.682506240478289
en-zh newstest2017 Oregon-State-University-S.5174 1956 0.0644635956743722
en-zh newstest2017 CASICT-cons.5157 1956 -0.105914663850816
en-zh newstest2017 online-A.0 1962 0.580617039226892
en-zh newstest2017 online-F.0 1994 -0.0903722405395608
en-zh newstest2017 jhu-nmt.5153+xmunmt.5165 13 0.0202007038611906
en-zh newstest2017 online-A.0 20 -0.348101058947427
en-zh newstest2017 Oregon-State-University-S.5174 64 -0.774904224401572
en-zh newstest2017 xmunmt.5165 64 -0.89743838251086
en-zh newstest2017 Oregon-State-University-S.5174 211 -0.557481222647721
en-zh newstest2017 CASICT-cons.5157 241 -0.635286550714468
en-zh newstest2017 jhu-nmt.5153 256 -0.040980004916203
en-zh newstest2017 uedin-nmt.5111 257 0.0648880945428169
en-zh newstest2017 CASICT-cons.5157 265 -0.190646031046634
en-zh newstest2017 online-F.0 286 -0.5079436741396
en-zh newstest2017 CASICT-cons.5157 303 0.311486609110249
en-zh newstest2017 uedin-nmt.5111 348 -0.663581523749371
en-zh newstest2017 SogouKnowing-nmt.5131 366 -0.540954422150629
en-zh newstest2017 online-G.0 385 -0.155735883023744
en-zh newstest2017 online-B.0 404 -0.689446853541401
en-zh newstest2017 SogouKnowing-nmt.5131 490 0.0204497623722883
en-zh newstest2017 xmunmt.5165 507 0.101748113187144
en-zh newstest2017 UU-HNMT.5134 564 0.13018824334112
en-zh newstest2017 online-A.0 586 0.49726303539767
en-zh newstest2017 online-G.0 602 -0.800451225309841
en-zh newstest2017 Oregon-State-University-S.5174 607 -0.723652582880707
en-zh newstest2017 online-F.0 640 -0.187985351728254
en-zh newstest2017 online-B.0 667 0.119396976275974
en-zh newstest2017 uedin-nmt.5111 702 0.32867515383597
en-zh newstest2017 uedin-nmt.5111 745 0.434092525993606
en-zh newstest2017 online-F.0 753 -0.814970557954193
en-zh newstest2017 online-A.0 775 0.0913244346720437
en-zh newstest2017 online-F.0 781 -0.0426565274570883
en-zh newstest2017 online-A.0 801 0.578167089051267
en-zh newstest2017 CASICT-cons.5157 924 0.430565616554166
en-zh newstest2017 UU-HNMT.5134 948 0.221883998767534
en-zh newstest2017 xmunmt.5165 988 0.959068418022855
en-zh newstest2017 Oregon-State-University-S.5174 1032 0.237779147624428
en-zh newstest2017 UU-HNMT.5134 1048 0.532040777149013
en-zh newstest2017 online-A.0 1052 0.43008982658626
en-zh newstest2017 online-F.0 1057 -0.476610812313316
en-zh newstest2017 jhu-nmt.5153 1058 0.705466655015083
en-zh newstest2017 UU-HNMT.5134 1133 -0.617828236015003
en-zh newstest2017 uedin-nmt.5111 1140 0.538237891373339
en-zh newstest2017 SogouKnowing-nmt.5131 1158 0.395100486449647
en-zh newstest2017 online-G.0 1171 -0.103551427398642
en-zh newstest2017 online-A.0 1282 0.358640146576284
en-zh newstest2017 uedin-nmt.5111 1284 -0.32054763045508
en-zh newstest2017 Oregon-State-University-S.5174 1287 -0.509363026533366
en-zh newstest2017 UU-HNMT.5134 1346 -0.396904092330409
en-zh newstest2017 online-G.0 1360 -0.37749640004393
en-zh newstest2017 online-A.0 1381 0.427788970489875
en-zh newstest2017 xmunmt.5165 1391 -0.0297320505735987
en-zh newstest2017 CASICT-cons.5157 1413 -0.790856926088938
en-zh newstest2017 online-B.0 1419 -0.681344490042151
en-zh newstest2017 SogouKnowing-nmt.5131 1479 -0.154519985746028
en-zh newstest2017 SogouKnowing-nmt.5131 1497 0.616915717192795
en-zh newstest2017 online-B.0 1566 0.526244127841026
en-zh newstest2017 online-G.0 1624 -0.571879978271319
en-zh newstest2017 CASICT-cons.5157 1624 -0.348584758579396
en-zh newstest2017 online-B.0 1639 0.280805471398641
en-zh newstest2017 Oregon-State-University-S.5174 1652 0.187044371517257
en-zh newstest2017 jhu-nmt.5153 1657 0.560826465853844
en-zh newstest2017 online-F.0 1669 -0.155710542531461
en-zh newstest2017 online-B.0+CASICT-cons.5157 1696 -0.0231125694186325
en-zh newstest2017 UU-HNMT.5134 1757 0.306501133976739
en-zh newstest2017 SogouKnowing-nmt.5131 1792 0.120934820275603
en-zh newstest2017 xmunmt.5165 1796 0.174573909160196
en-zh newstest2017 UU-HNMT.5134 1823 -0.0319831248366467
en-zh newstest2017 xmunmt.5165 1825 1.00546868162217
en-zh newstest2017 SogouKnowing-nmt.5131 1876 -0.34096669245088
en-zh newstest2017 Oregon-State-University-S.5174 1924 0.317646441920981
en-zh newstest2017 Oregon-State-University-S.5174 1964 0.695031720593544
en-zh newstest2017 online-A.0 1990 0.502914695481073
en-zh newstest2017 Oregon-State-University-S.5174 1998 0.093754491778574
en-zh newstest2017 online-G.0 94 -0.414138722319379
en-zh newstest2017 CASICT-cons.5157 207 -0.583283310789683
en-zh newstest2017 online-G.0 229 -0.202689441479619
en-zh newstest2017 CASICT-cons.5157 242 -0.792890871380896
en-zh newstest2017 online-G.0 262 -0.157169498429239
en-zh newstest2017 online-G.0 288 -0.614885683853781
en-zh newstest2017 Oregon-State-University-S.5174 294 0.570784547743555
en-zh newstest2017 xmunmt.5165 312 1.15233940533887
en-zh newstest2017 online-G.0 340 -0.698980687064995
en-zh newstest2017 online-A.0 347 -0.769638628076962
en-zh newstest2017 jhu-nmt.5153 351 -0.21472157022636
en-zh newstest2017 SogouKnowing-nmt.5131+online-A.0 386 0.489905933773238
en-zh newstest2017 online-G.0 435 -0.795311900499626
en-zh newstest2017 online-B.0 473 -0.431318499116844
en-zh newstest2017 online-F.0 495 0.127669895129172
en-zh newstest2017 xmunmt.5165 517 0.461885756028754
en-zh newstest2017 UU-HNMT.5134 522 -0.126198012104177
en-zh newstest2017 online-B.0 556 0.414096694502784
en-zh newstest2017 jhu-nmt.5153 591 0.436330249718215
en-zh newstest2017 UU-HNMT.5134 621 -0.613953605461484
en-zh newstest2017 SogouKnowing-nmt.5131 629 0.245631353671617
en-zh newstest2017 uedin-nmt.5111 744 0.340273710740989
en-zh newstest2017 online-G.0 765 -0.0161892621448111
en-zh newstest2017 uedin-nmt.5111 799 0.462099610367503
en-zh newstest2017 online-B.0 809 0.725724870471836
en-zh newstest2017 SogouKnowing-nmt.5131 810 0.605688760325394
en-zh newstest2017 Oregon-State-University-S.5174 825 0.189249307793825
en-zh newstest2017 uedin-nmt.5111 876 0.610032329238909
en-zh newstest2017 Oregon-State-University-S.5174 878 0.115422675690649
en-zh newstest2017 online-A.0 907 0.256822708014584
en-zh newstest2017 jhu-nmt.5153 924 0.11492597999718
en-zh newstest2017 online-G.0 925 0.0826734061373171
en-zh newstest2017 online-G.0 948 -0.492331371479486
en-zh newstest2017 online-A.0 955 -0.883835793735235
en-zh newstest2017 CASICT-cons.5157 1003 0.181630384743017
en-zh newstest2017 online-G.0 1010 0.0359410778696892
en-zh newstest2017 uedin-nmt.5111+xmunmt.5165 1060 0.735487962550455
en-zh newstest2017 jhu-nmt.5153 1064 -0.164224172759133
en-zh newstest2017 online-A.0 1071 0.249869810949257
en-zh newstest2017 CASICT-cons.5157 1139 0.0209388123195169
en-zh newstest2017 CASICT-cons.5157 1155 0.595794563293842
en-zh newstest2017 UU-HNMT.5134 1184 -1.03136610298605
en-zh newstest2017 UU-HNMT.5134 1224 0.0329309720308442
en-zh newstest2017 uedin-nmt.5111 1228 -0.153809391030093
en-zh newstest2017 uedin-nmt.5111 1274 -0.574135251134982
en-zh newstest2017 online-B.0 1284 0.00530540421516293
en-zh newstest2017 CASICT-cons.5157 1317 -0.33784917950036
en-zh newstest2017 online-A.0 1346 0.793673567251894
en-zh newstest2017 UU-HNMT.5134 1357 -0.326658957123449
en-zh newstest2017 Oregon-State-University-S.5174 1380 -0.494861330728899
en-zh newstest2017 uedin-nmt.5111 1437 -0.841914206479333
en-zh newstest2017 online-B.0 1461 -0.473618446311206
en-zh newstest2017 Oregon-State-University-S.5174 1548 -0.0774996779183787
en-zh newstest2017 CASICT-cons.5157 1607 -0.537304872715793
en-zh newstest2017 online-A.0 1613 -0.406983056016338
en-zh newstest2017 online-B.0 1619 0.0876114641878516
en-zh newstest2017 UU-HNMT.5134 1630 -0.137765008924801
en-zh newstest2017 SogouKnowing-nmt.5131 1636 0.965779718558089
en-zh newstest2017 online-A.0 1640 0.941124812371597
en-zh newstest2017 SogouKnowing-nmt.5131+xmunmt.5165 1691 0.986519124279245
en-zh newstest2017 xmunmt.5165 1693 -0.679802780686156
en-zh newstest2017 CASICT-cons.5157 1708 0.201986880930779
en-zh newstest2017 uedin-nmt.5111 1742 0.100412262432641
en-zh newstest2017 jhu-nmt.5153 1750 0.77072329783687
en-zh newstest2017 uedin-nmt.5111 1763 0.78025517733887
en-zh newstest2017 UU-HNMT.5134 1780 0.24607886325493
en-zh newstest2017 online-B.0 1833 -0.676467788222755
en-zh newstest2017 online-A.0 1848 0.191098380533356
en-zh newstest2017 online-G.0 1857 -0.409218683756873
en-zh newstest2017 online-F.0 1859 -0.394972161817303
en-zh newstest2017 online-B.0 104 -0.577336219489631
en-zh newstest2017 online-G.0 111 -0.142231582688261
en-zh newstest2017 online-B.0 116 -0.409530730425187
en-zh newstest2017 uedin-nmt.5111 193 -0.233024306473444
en-zh newstest2017 online-G.0 261 -0.747192931452378
en-zh newstest2017 jhu-nmt.5153 293 0.644192742847885
en-zh newstest2017 UU-HNMT.5134 376 -0.482423052825277
en-zh newstest2017 xmunmt.5165 377 -0.44538877209547
en-zh newstest2017 online-G.0 401 0.129333484057221
en-zh newstest2017 uedin-nmt.5111 443 0.513001479501293
en-zh newstest2017 uedin-nmt.5111 473 -0.133737504646726
en-zh newstest2017 SogouKnowing-nmt.5131 480 -0.437669373756778
en-zh newstest2017 online-F.0 485 -0.279482085470417
en-zh newstest2017 UU-HNMT.5134 530 -0.300919731571824
en-zh newstest2017 online-G.0 534 -0.704633867728824
en-zh newstest2017 online-A.0 535 -0.104662754386317
en-zh newstest2017 Oregon-State-University-S.5174 600 -0.517806388185013
en-zh newstest2017 online-F.0 606 -0.361688322542941
en-zh newstest2017 UU-HNMT.5134 622 -0.177638237273583
en-zh newstest2017 jhu-nmt.5153 628 -0.27292108006383
en-zh newstest2017 online-A.0 631 0.172033205895064
en-zh newstest2017 online-F.0 639 -0.256017750990022
en-zh newstest2017 jhu-nmt.5153 651 0.83898783118421
en-zh newstest2017 CASICT-cons.5157 673 -0.140287376747079
en-zh newstest2017 jhu-nmt.5153 724 -0.25318245159312
en-zh newstest2017 Oregon-State-University-S.5174 735 0.371486697803397
en-zh newstest2017 online-G.0 796 -0.385223748124628
en-zh newstest2017 CASICT-cons.5157 873 0.628831034625675
en-zh newstest2017 CASICT-cons.5157 961 -0.803620935795007
en-zh newstest2017 online-B.0 988 0.333768363672525
en-zh newstest2017 online-A.0 1009 0.308935749719529
en-zh newstest2017 online-B.0 1047 0.311566030049251
en-zh newstest2017 Oregon-State-University-S.5174 1073 0.0393673323919002
en-zh newstest2017 jhu-nmt.5153 1116 0.565854032742763
en-zh newstest2017 online-G.0 1142 -0.313723719126013
en-zh newstest2017 online-G.0 1166 -0.347137064933456
